"recid","issueID","user","createtime","updatetime","text","identifier"
"40","9","GroupS/user2","1485886550","1485886550","@MichaelGoff I am done with my part. Let me know if any changes are required.  Also, I added @bhaskarsinha1311 details at the start of the paper. But we have indentation problem. Any idea how to correct that? ","276445355"
"41","9","GroupS/user4","1485888838","1485888838","Hey guys, I added a couple of slides to the presentation but it's still coming to 19 slides. Any ideas on what else we can add? So far I have added the following topics:    Problem Statement  How teams are formed now?  Why we chose this topic?  Our Survey  What our surveyors said  Approach One  Approach Two  Approach Three  Conclusion  ","276455846"
"42","9","GroupS/user3","1485889056","1485889056","How other software deal with this problem?","276456880"
"43","9","GroupS/user1","1485895641","1485895641","@sshankjha I have fixed the author problem. There was an alternative format to use for more than 3 authors.     I will begin reading over and editing.   @jdeng8 Could you tag me when you complete the remainder of your material so I know when to take another look? Thanks","276486999"
"45","9","GroupS/user4","1485900047","1485900047","https://docs.google.com/presentation/d/1F_SjpHlHEr3xyCYzbyh9EKU_PKQa_HVRNPSRJxi6Tqk/pub?start=false&loop=false&delayms=20000","276506806"
"34","9","GroupS/user2","1485744337","1485744337","Can somebody do approach 3? I am willing to do approach 1 and 2 but would be great if I could see what exactly needs to be written first.","275969687"
"49","9","GroupS/user1","1485921451","1485921451","Paper complete","276566445"
"46","9","GroupS/user4","1485900062","1485900062","Thats the published presentation link.","276506880"
"36","9","GroupS/user3","1485796703","1485796703","OK","276125447"
"48","9","GroupS/user4","1485921363","1485921363","@jdeng8 Ok I'll rectify that.  ","276566318"
"37","9","GroupS/user2","1485824273","1485824273","I have added text covering three sections. This is my first draft so I will changing few words and add formatting as well. Let me know if I missed something important. I will finalize the text accordingly later today.","276241428"
"44","9","GroupS/user4","1485899093","1485899093","I have completed a rough draft of the 20 slides. Can you guys review it and give any feedback?   Also, I have written my understanding of the three approaches, please let me know if it is consistent with what is written in the paper.","276502539"
"57","10","GroupS/user2","1486489140","1486489140","I have created 4 issues for implementing core and three approaches. Added them in milestones as well. But I think we have change structure of milestones.  Rather than having monthly milestones, it would be better if we have milestones like: ""Finalize designs"" due by Feb 12/13, ""implement and test approaches"" by feb 25.   So let me know how you all want to proceed.","278078180"
"54","10","GroupS/user2","1486433927","1486433927","I think we should maintain separate database as well. In LinkedIn, I only add those skills which I am totally confident about. But that might not be the case while doing projects. So I would prefer (as a end user) to add skills besides LinkedIn one as well.","277880966"
"53","10","GroupS/user3","1486433752","1486433752","Are the data all extract from LinkedIn?  So that we don't need to maintain a database.  I am not sure when to do the evaluation, maybe later.  ","277880464"
"58","10","GroupS/user1","1486491243","1486491243","Agreed. I think the new milestones are good. Everything looks good to me. Perhaps we can start laying out future issues as well to populate the other milestones but this seems like an organized start to me. ","278090266"
"50","10","GroupS/user1","1486428184","1486428184","These look good for different categories. I think we could even create these as milestones on github issues. From that point we could break down some of these into various issues and then add more issues to each milestone as they come.     I would suggest adding as a milestone    - Coming with a stack for our application  - Implementing a skeleton application","277862573"
"55","10","GroupS/user2","1486434371","1486434371","So most important things **(CORE)** mentioned till now:  1. LinkedIn API  2. Signup/login page  3. Database?","277882109"
"52","10","GroupS/user2","1486433486","1486433486","Does not that come under March milestone?","277879765"
"51","10","GroupS/user3","1486433407","1486433407","We should also design evaluation method. Professor has mentioned about that several times. We can discuss with him tomorrow.","277879546"
"56","11","GroupS/user3","1486487868","1486487868","MW-2nd half  TT - all day before SE class  F- all day","278071126"
"62","11","GroupS/user2","1486503689","1486503689","Alright. Friday 11.30-12.30. I ll send meeting invitation on Thursday to confirm.","278149483"
"60","11","GroupS/user4","1486497842","1486497842","TT before or after class and Friday all day.  ","278123388"
"59","11","GroupS/user1","1486497127","1486497127","TT after SE class (Would much prefer these days)  F - All day","278119975"
"61","11","GroupS/user2","1486503426","1486503426","We can meet before/after class for 5-10 mins. If not enough , Friday 11.30-12.30. I ll book one room in library accordingly.","278148248"
"65","12","GroupS/user1","1486578732","1486578732","Potential alternative to Angular. Using Node.js and Express with mongoDB to store data.     http://cwbuecheler.com/web/tutorials/2014/restful-web-app-node-express-mongodb/    Here is a quick tutorial on how it all works.","278419262"
"69","12","GroupS/user2","1487174511","1487174511","LinkedIn API and logging will be added to add-ons. Closing the issue.","280052073"
"63","12","GroupS/user1","1486504338","1486504338","Angular seems like the way to go to quickly start up a webapp. There are plenty of options to use as a starting point which allows us to hit the ground running. We can use LinkedIn API for authentication. I'm sure we will need some kind of DB but I'm not sure what we will use for that as of yet. ","278152631"
"66","13","GroupS/user1","1486746565","1486746565","Layout of Approach 1    ![Imgur](http://i.imgur.com/RYxTky4.jpg)","279002513"
"70","13","GroupS/user2","1487174556","1487174556","Communication between users will be handled during add-ons phase. Hence, closing the issue.","280052305"
"67","14","GroupS/user1","1486747322","1486747322","Layout of Approach 2    ![Imgur](http://i.imgur.com/dF9nxzL.jpg)","279006071"
"71","15","GroupS/user2","1487174604","1487174604","Closing the issue since the design has been finalized.","280052544"
"68","15","GroupS/user1","1486747974","1486747974","Layout of Approach 3    ![Imgur](http://i.imgur.com/TNou7GL.jpg)","279009254"
"64","15","GroupS/user3","1486520632","1486520632","approach 3 detail:   1. users/administrator post topics/teams.  2. users fill a team list according to skills requirements and preference.  3. Teams on the list have preference weight.   4. On each preference level, do lottery(create a random number) algorithm.  5. deal with teams and users didn't match in the lottery.    eg:    9 users  3 teams each have 3 positions(front-end, back-end, non-requirement)  only users fit the skill can apply for a position.  after filling a list:  user1: team1(first choice) team2(second choice) team3(last choice)  user2: team1(first choice) team3(second choice)  user3: team1(first choice) team3(second choice)  user4: team2(first choice) team3(second choice)    1st lottery:   run the first choice, in this round, user4 get the position in team2 because no other competitor. user1 get the position in a lottery.  2nd lottery:  run the second choice. user1 and user4 have already won in first round, they will be out of consideration. User2 and user3 run the lottery. User3 win.  result: team1(user1),team2(user4), team3(user3)  3nd lottery:  run the last choice. Everyone have the last choice find a position. The run finishes.    There is possibility that some users don't get any of the positions in their list (user2 in the eg). In this case, users can apply for other free positions.    Explanation on Lottery algorithm:   Chances are presented as a line segment, for example, [0-10].  For users compete for a position, divide the line into several same segments.(10 people, 10 segments, each one owns 1. user1[0-1),user2[1-2),user3[2-3)......).  Generate a random number between 0-10, see on which segment the number is. The user owns the segment win the lottery.     If anyone has better ideas?","278210099"
"77","17","GroupS/user2","1487179588","1487179588","So I am updating my first comment. Close this issue when branches have been created.","280078034"
"72","17","GroupS/user2","1487174713","1487179577","- [ ] Approach 2 branch creation  - [ ] Approach 3 branch creation    @MichaelGoff @jdeng8 Can you close this issue when you have created respective repos?","280053094"
"73","17","GroupS/user1","1487175947","1487175947","Like I said in the title we should make 3 branches on this repo so everything is in one place    I thought @bhaskarsinha1311 said he was going to do this on Slack.","280059438"
"74","17","GroupS/user2","1487176038","1487176038","He has created repo for approach 1. You guys can create one when we are done with creating the core.","280059917"
"76","17","GroupS/user2","1487176136","1487176136","Oh yes. I think it will be better to use one single repo.","280060438"
"75","17","GroupS/user1","1487176086","1487176086","I know, I'm saying we should make it a branch on this repo instead so everything is in one place for submission purposes. ","280060152"
"79","18","GroupS/user1","1487813709","1487813709","A sign in page has been created","281862652"
"80","19","GroupS/user1","1487813726","1487813726","Signup page has been created","281862711"
"84","20","GroupS/user1","1487813963","1487813963","Homepage has been created","281863465"
"82","21","GroupS/user1","1487813831","1487813831","The teams page has been created","281863030"
"83","22","GroupS/user1","1487813852","1487813852","The user table has been created","281863102"
"107","23","GroupS/user2","1488306280","1488306280","Since we are not merging with master, closing it manually.","283121932"
"104","23","GroupS/user2","1488305493","1488305493","Shouldn't this be closed?","283118813"
"105","23","GroupS/user1","1488306204","1488306204","Yes. It will auto close when merged with master but you can close it.  On Tue, Feb 28, 2017, 13:11 Shashank Jha <notifications@github.com> wrote:  > Shouldn't this be closed? > > — > You are receiving this because you were assigned. > Reply to this email directly, view it on GitHub > <https://github.com/NCSU-SE-Spring-17/SE-17-S/issues/23#issuecomment-283118813>, > or mute the thread > <https://github.com/notifications/unsubscribe-auth/AEcjLPJFKBgHbEgsRCgwMZlIszLMVunLks5rhGNWgaJpZM4MIGLe> > . > ","283121638"
"114","24","GroupS/user2","1489448218","1489448218","Initial approach pushed. Though divided team is only shown in console for now. Will complete database writing after tomorrow's exam.","286277044"
"117","24","GroupS/user1","1489459959","1489459959","Awesome. Could you start doing some tests for your functionality?  ---- Michael Goff Graduate Student Computer Science North Carolina State University  On Mon, Mar 13, 2017 at 10:41 PM, Shashank Jha <notifications@github.com> wrote:  > Done. > > — > You are receiving this because you authored the thread. > Reply to this email directly, view it on GitHub > <https://github.com/NCSU-SE-Spring-17/SE-17-S/issues/24#issuecomment-286305265>, > or mute the thread > <https://github.com/notifications/unsubscribe-auth/AEcjLIayE72rSRKMJX2MvnbG6NgmkKT9ks5rlf5tgaJpZM4MIGlm> > . > ","286306896"
"116","24","GroupS/user2","1489459309","1489459309","Done.","286305265"
"115","24","GroupS/user1","1489449100","1489449100","You know our demo is tomorrow right? We need to have this part live by then.  ---- Michael Goff Graduate Student Computer Science North Carolina State University  On Mon, Mar 13, 2017 at 7:36 PM, Shashank Jha <notifications@github.com> wrote:  > Initial approach pushed. Though divided team is only shown in console for > now. Will complete database writing after tomorrow's exam. > > — > You are receiving this because you authored the thread. > Reply to this email directly, view it on GitHub > <https://github.com/NCSU-SE-Spring-17/SE-17-S/issues/24#issuecomment-286277044>, > or mute the thread > <https://github.com/notifications/unsubscribe-auth/AEcjLNAAlbwDOzyu8LoK5UEgX4C-1hNCks5rldMagaJpZM4MIGlm> > . > ","286279553"
"81","25","GroupS/user1","1487813807","1487813807","Tables have been created with each member","281862965"
"108","26","GroupS/user1","1488311579","1488311579","This is a duplicate of another issue","283144050"
"78","27","GroupS/user1","1487813393","1487813393","Wasn't getting cut off, the data wasn't properly populated. Regardless this has been resolved","281861608"
"111","29","GroupS/user2","1488315163","1488315163","No need for this. I have additional check in members.component.html to display false if skill is missing.","283156982"
"85","30","GroupS/user2","1487819175","1487819175","I have added firebase.logout function in app.js. Now need to link it in user home page.","281879761"
"122","31","GroupS/user2","1490906403","1490906403","@bhaskarsinha1311 I believe this issue has been fixed. If not, please reopen it.","290538070"
"125","31","GroupS/user4","1490907918","1490907918","It's fixed.","290544680"
"97","34","GroupS/user2","1488249349","1488249349","@MichaelGoff Need clarification here. You are talking about sign up process right? Because there is only one sign in option. ","282924014"
"95","34","GroupS/user2","1488159224","1488159224","@MichaelGoff We can add separate page for adding skills. So first page will be for signing up (either google or email), then add/edit skills page and lastly user's home page.","282607542"
"100","34","GroupS/user2","1488250033","1488250033","The other is login page which has option of email and google.","282925718"
"101","34","GroupS/user1","1488250580","1488250580","The login with Google button will automatically sign a user up if they don't have an account  On Mon, Feb 27, 2017, 21:47 Shashank Jha <notifications@github.com> wrote:  The other is login page which has option of email and google.  — You are receiving this because you were mentioned. Reply to this email directly, view it on GitHub <https://github.com/NCSU-SE-Spring-17/SE-17-S/issues/34#issuecomment-282925718>, or mute the thread <https://github.com/notifications/unsubscribe-auth/AEcjLKg1bpX3KwiBNYjKEW5HaSwrGWLuks5rg4qxgaJpZM4MJbPh> . ","282927022"
"99","34","GroupS/user2","1488250006","1488250006","![signuppage](https://cloud.githubusercontent.com/assets/23535378/23389464/1b0b63be-fd36-11e6-8005-7e7d0ed21dbd.PNG)    There is only single option.   ","282925655"
"102","34","GroupS/user2","1488264349","1488264349","Pushed the correction.","282957067"
"98","34","GroupS/user1","1488249806","1488249806","Yeah need skills for Google users on sign up. We already have a sign up page for email users. You can login through either Google or email after the fact  On Mon, Feb 27, 2017, 21:35 Shashank Jha <notifications@github.com> wrote:  > @MichaelGoff <https://github.com/MichaelGoff> Need clarification here. > You are talking about sign up process right? Because there is only one sign > in option. > > — > You are receiving this because you were mentioned. > Reply to this email directly, view it on GitHub > <https://github.com/NCSU-SE-Spring-17/SE-17-S/issues/34#issuecomment-282924014>, > or mute the thread > <https://github.com/notifications/unsubscribe-auth/AEcjLMvvOqUO9ZQeUeqRCabWNRa-8XXcks5rg4gFgaJpZM4MJbPh> > . > ","282925183"
"86","35","GroupS/user3","1487820279","1487820279","Finished the basic functions before Feb 20, continue with implementing the core design of approach 3.","281882924"
"94","36","GroupS/user3","1488005078","1488005078","Finish basic function of approach3.","282465100"
"87","36","GroupS/user3","1487820922","1487820922","update","281884756"
"88","36","GroupS/user3","1487826838","1487826838","complete generate team table,  use button to select team position","281896782"
"89","36","GroupS/user3","1487827569","1488004982","- [x] need to add a function for user to cancel team assignment    - [x] need a view of team info??","281898338"
"91","36","GroupS/user3","1487870925","1488005062","- [x] consider synchronization when different users compete for one position  solution: update team information ahead of update user's information  use then() method to control synchronization.","282061533"
"90","37","GroupS/user4","1487866054","1487866054","No, I think that's enough. ","282036761"
"92","37","GroupS/user2","1487873141","1487873141","Pushed the updated code.","282071771"
"106","38","GroupS/user1","1488306241","1488306241","Okay you can write a bit about it if you want.  On Tue, Feb 28, 2017, 13:09 Shashank Jha <notifications@github.com> wrote:  > @MichaelGoff <https://github.com/MichaelGoff> Can you mention about > generating team function as well. That is yet to properly implemented and > tested. Not sure if that falls under 'roadblock' category or 'doing/yet to > be done'. But I think that is worth mentioning. > > — > You are receiving this because you were mentioned. > Reply to this email directly, view it on GitHub > <https://github.com/NCSU-SE-Spring-17/SE-17-S/issues/38#issuecomment-283118348>, > or mute the thread > <https://github.com/notifications/unsubscribe-auth/AEcjLE_3bnKDG9EahcprtRvrZ0pJKEO5ks5rhGLmgaJpZM4MKjJq> > . > ","283121766"
"93","38","GroupS/user1","1487887010","1487887010","Due Tuesday","282134308"
"96","38","GroupS/user1","1488233126","1488233126","I have created a folder in master that has the February paper inside. Can you guys write about your sections? We are aiming for 1 full page per section. We are using the same Sharelatex document for writing. Let me know if you can't access it. Remember this is due tomorrow! ","282871510"
"103","38","GroupS/user2","1488305382","1488305382","@MichaelGoff Can you mention about generating team function as well. That is yet to properly implemented and tested. Not sure if that falls under 'roadblock' category or 'doing/yet to be done'. But I think that is worth mentioning. ","283118348"
"118","40","GroupS/user3","1489500492","1489500492","Unit tests of functions without connecting to firebase are finished.  ","286431878"
"110","41","GroupS/user2","1488312931","1488312931","I did think of this scenario. But this can be treated as enhancement rather than bugs. We have other issues to work on for now.","283148945"
"109","42","GroupS/user1","1488312747","1488312747","Closing, see above commit message.","283148310"
"113","43","GroupS/user5","1488391891","1488391891","Ah! Now that is an even MORE interesting work pattern. Branches as isolated work units.         ","283421611"
"112","43","GroupS/user1","1488382069","1488382069","Look in the branches to see the project work.     Commits on papers are all from me because they are written in ShareLatex and it is linked to my Github account. ","283371620"
"124","46","GroupS/user4","1490907840","1490907840","Create new Issue  ","290544375"
"121","46","GroupS/user3","1490300976","1490300976","So what's the criterion to evaluate how good is each method?  I agree that user's experience is one criterion of evaluation","288850206"
"123","46","GroupS/user2","1490907820","1490907820","We need to discuss about report/ppt as well. So shall we continue in same issue or create new one?","290544299"
"119","46","GroupS/user2","1490110702","1490110966","Approach2:  - Create 9 chit with skills in it. Each representing a person. Ask someone to make groups of 3 with equally distributed skills. Note down the time.  - Next time, add 6 more chits. Again ask to divide into groups evenly. Note down the time.   - Lastly, add 6 more chits. Same process.   - At the end, note when it becomes exponentially hard to divide.   - In the end, show how it can be done using our app.   - Compare both approaches and ask user how s/he rates our app in terms of usefulness (after showing that dividing the team evenly for more than 15-20 person is really really hard).","288118889"
"120","46","GroupS/user2","1490110924","1490111181","Approach1:  - Ask if users know of any app/site which provides searching of users based on 'skill' criteria. (I think this is more of google form type of question).","288120195"
"134","47","GroupS/user1","1491239105","1491239105","I think experiment and results sections will be best to split by approach. Discussion and observations might merge them. ","291207206"
"140","47","GroupS/user4","1491239588","1491239588","Cool!","291209564"
"137","47","GroupS/user1","1491239432","1491239432","Maybe some future work as well","291208820"
"126","47","GroupS/user2","1490909041","1490909041","March milestone is due on 31st March. Ppt/report is due on April 7th.","290549215"
"141","47","GroupS/user1","1491251014","1491251014","The doc has been set up. You can find it at the same place as the last two papers.","291262511"
"138","47","GroupS/user4","1491239478","1491239478","Okay so we can start with the Intro and the Task Methodology and results we can do tomorrow.  ","291209039"
"135","47","GroupS/user4","1491239268","1491239268","So I would recommend everyone to write briefly about the responses to their approaches today and we can do the combined part after the evaluations are done tomorrow.   ","291208038"
"142","47","GroupS/user1","1491251683","1491251683","BTW the latex doc is here. Let me know if you don't have access. I think everyone can still edit this:    https://www.sharelatex.com/project/588a782f19b669f77a7d39bd","291265435"
"133","47","GroupS/user1","1491238864","1491238933","If we each write a little more than a page and a half we can meet the length requirement no problem. Here is an outline of sections I think we will need upon looking at sample papers.     - Intro  - Experiment      - Task methodology  - Results  - Discussion       - Observations / Limitations  - Best Approach  - Future Work  - Conclusion ","291205960"
"136","47","GroupS/user1","1491239385","1491239385","Results might be swayed by additional responses you get tomorrow though. Without finalizing the collected data I think we can only really talk about how we framed the experiment and the expected results right now. We cannot draw conclusions without complete data. ","291208593"
"127","47","GroupS/user1","1490909173","1490909173","I would prefer to not present again. How should we structure this paper? ","290549749"
"139","47","GroupS/user1","1491239550","1491239550","I will set up a sharelatex doc to contribute to","291209380"
"128","50","GroupS/user2","1490919324","1490919324","Conflict in readme.md","290580681"
"129","50","GroupS/user4","1490919470","1490919470","Delete the readme  If it's showing conflict","290581022"
"131","50","GroupS/user2","1490919633","1490919633","Have you deleted it?","290581394"
"132","50","GroupS/user4","1490919691","1490919691","Yes  ","290581535"
"130","50","GroupS/user2","1490919591","1490919591","Okay.","290581305"
